Name, Min(ns), Max(ns), Avg(ns), p75(ns), p95(ns), p99(ns), p995(ns)
Add 1x1 (Func),65,401,76,77,181,215
Add 1x1 (Loop),45,185,71,83,146,173
Add 1x1 (Loop Prealloc),13,135,24,27,67,76
Add 1x1 (unrolled),7,112,10,12,35,49
Add 1x1 (unrolled dynamic),6,61,8,7,27,30
Add 1x1 (flat),8,56,9,9,30,34
Add 1x1 (flat col major),8,49,9,9,29,32
Add 1x1 (flat simple),6,65,7,7,22,25
Add 1x1 (flat unrolled),5,44,6,6,20,22
Add 1x1 (F64),299,583,379,393,570,583
Add 1x1 (F32),300,552,363,379,534,552
Add 1x1 (I32),301,563,359,371,507,563
Add 1x1 (F64 flat),296,582,357,373,508,582
Add 1x1 (F32 flat),298,601,360,378,498,601
Add 1x1 (I32 flat),301,857,380,382,720,857
Add 1x1 (flat func),57,101,60,59,83,88
Add 1x1 (WASM F64),442,926,518,527,861,926
Add 1x1 (WASM SIMD F64),444,765,510,522,648,765
Add 1x1 (WASM SIMD F32),442,856,515,520,810,856
Add 1x1 (WASM SIMD I32),432,848,508,522,675,848
Add 2x2 (Func),131,224,139,143,188,213
Add 2x2 (Loop),64,202,80,84,148,160
Add 2x2 (Loop Prealloc),23,120,28,27,55,65
Add 2x2 (unrolled),10,56,12,11,29,32
Add 2x2 (unrolled dynamic),10,52,11,11,26,29
Add 2x2 (flat),13,47,14,14,29,31
Add 2x2 (flat col major),13,66,14,14,34,38
Add 2x2 (flat simple),9,45,10,10,29,33
Add 2x2 (flat unrolled),7,56,8,8,22,25
Add 2x2 (F64),301,481,367,392,458,481
Add 2x2 (F32),302,670,380,392,626,670
Add 2x2 (I32),299,821,369,385,519,821
Add 2x2 (F64 flat),298,659,366,386,533,659
Add 2x2 (F32 flat),294,524,361,381,498,524
Add 2x2 (I32 flat),300,558,361,382,522,558
Add 2x2 (flat func),66,154,71,69,103,115
Add 2x2 (WASM F64),453,659,515,539,633,659
Add 2x2 (WASM SIMD F64),441,867,506,527,683,867
